"id","educ","majorcol","rincome","race","sex"
902,8,NA,NA,1,2
903,13,NA,12,3,1
904,13,NA,NA,1,2
905,13,NA,12,1,1
906,10,NA,NA,3,2
907,11,NA,NA,1,2
908,12,NA,12,1,2
909,12,NA,12,1,1
910,9,NA,NA,1,2
911,10,NA,NA,1,2
912,16,NA,12,1,2
913,13,NA,2,1,2
914,17,29,NA,3,2
915,20,NA,NA,1,2
916,12,NA,12,1,2
917,12,NA,NA,1,2
918,13,NA,NA,3,2
919,14,NA,12,2,2
920,18,16,12,1,2
921,12,NA,12,1,2
922,12,NA,NA,1,2
923,17,9,NA,1,1
924,16,NA,12,2,1
925,12,NA,9,1,2
926,12,NA,12,1,1
927,14,NA,12,1,2
928,12,NA,12,1,1
929,13,NA,3,3,2
930,20,NA,12,1,1
931,12,NA,NA,1,2
932,11,NA,NA,3,2
933,9,NA,NA,1,2
934,12,NA,12,1,1
935,9,NA,NA,3,1
936,13,NA,NA,1,2
937,12,NA,12,1,1
938,17,7,12,1,2
939,18,52,8,1,2
940,17,1,12,1,2
941,17,14,12,2,1
942,14,NA,NA,3,2
943,16,NA,12,1,2
944,16,NA,12,1,2
945,13,NA,2,3,1
946,10,NA,NA,3,2
947,12,NA,NA,3,1
948,14,NA,12,3,1
949,14,NA,NA,3,2
950,8,NA,NA,3,2
951,13,NA,2,3,2
952,12,NA,NA,2,2
953,16,NA,NA,1,2
954,14,NA,12,2,2
955,12,NA,NA,2,2
956,12,NA,NA,2,1
957,12,NA,10,2,2
958,12,NA,NA,2,1
959,12,NA,NA,1,2
960,12,NA,NA,2,1
961,12,NA,NA,2,2
962,12,NA,12,2,1
963,12,NA,12,1,1
964,12,NA,2,1,2
965,12,NA,12,1,1
966,12,NA,6,1,2
967,16,29,NA,1,1
968,15,NA,10,3,1
969,16,NA,12,1,1
970,14,9,5,1,1
971,15,NA,NA,1,1
972,10,NA,NA,1,1
973,12,NA,NA,2,1
974,19,NA,NA,3,1
975,13,NA,3,1,1
976,14,NA,12,1,2
977,12,NA,NA,1,2
978,16,27,4,1,1
979,12,NA,NA,1,2
980,12,NA,12,1,2
981,14,NA,10,1,2
982,19,NA,NA,3,2
983,16,42,11,1,2
984,12,NA,NA,1,1
985,13,NA,12,1,2
986,13,NA,11,1,1
987,16,NA,9,1,2
988,14,NA,NA,1,1
989,12,NA,12,3,1
990,12,NA,NA,1,1
991,6,NA,NA,3,1
992,11,NA,9,3,2
993,12,NA,NA,1,1
994,12,NA,12,1,2
995,16,NA,NA,3,2
996,17,NA,NA,1,2
997,17,1,12,1,2
998,12,NA,10,1,2
999,8,NA,12,1,1
1000,12,NA,NA,1,1
1001,14,NA,12,1,1
1002,16,8,NA,1,1
1003,12,NA,3,1,2
1004,20,16,12,1,2
1005,16,11,NA,1,1
1006,18,16,NA,2,2
1007,17,NA,12,1,2
1008,19,NA,12,1,2
1009,11,NA,12,1,2
1010,20,16,12,1,2
1011,16,9,12,2,2
1012,12,NA,10,1,1
1013,15,NA,7,2,1
1014,16,12,10,2,2
1015,12,NA,1,3,2
1016,15,NA,12,2,2
1017,12,NA,12,1,2
1018,12,NA,12,2,1
1019,10,NA,11,1,1
1020,18,NA,12,1,1
1021,17,NA,NA,1,1
1022,14,NA,4,3,1
1023,14,80,2,1,1
1024,17,NA,10,1,1
1025,19,NA,12,1,2
1026,18,67,12,1,1
1027,17,NA,11,1,2
1028,16,16,12,1,2
1029,16,NA,NA,1,2
1030,20,NA,12,1,1
1031,20,9,8,1,1
1032,13,NA,NA,1,2
1033,18,9,12,1,2
1034,16,9,12,1,1
1035,17,NA,12,1,2
1036,17,9,12,1,1
1037,19,NA,9,1,1
1038,16,NA,10,1,2
1039,16,63,12,1,1
1040,20,19,NA,1,2
1041,13,NA,NA,1,1
1042,12,NA,12,1,1
1043,16,9,NA,1,2
1044,12,NA,9,1,2
1045,16,8,12,1,2
1046,14,NA,12,1,2
